sample_id,country,accent,reference,transcription,wer,cer,cleaned_transcription,textblob_polarity,vader_compound
10,BW,setswana,"Assist the patient to a comfortable position and readjust thepillows and supports, as needed.","Asist the patient to a comfortable position and readjust the pillows and support, as needed.",0.2857142857142857,0.03225806451612903,asist patient comfortable position readjust pillows support needed,0.4,0.7184
11,BW,setswana,"Why then would a man who believed integrity was more valuable than money eight years ago, stand by money and deify it ahead of integrity today?
",Why then a man who believed integrity was more valuable than money eight years ago? Stand by money and defy it ahead of integrity today?,0.15384615384615385,0.06293706293706294,man believed integrity valuable money eight years ago stand money defy ahead integrity today,0.5,0.8382
12,BW,setswana,Infusing medication at appropriate rate prevents injury.,Infusing medication at appropriate rate prevents injury. Full stop.,0.2857142857142857,0.19642857142857142,infusing medication appropriate rate prevents injury full stop,0.425,-0.5719
13,BW,setswana,"Dr Nkirika Fasan speaking. Next line. Pain is worse with sitting, standing, and walking. Patient Chibidoro has tried analgesic medication. Next line
","Dr. Inkirika Fassan speaking, full stop. Next line, full stop. Pain is worth with sitting, comma, standing, comma, and walking, full stop. Patient Chibidoru has tried analgesic medication, full stop. Next line.",0.9090909090909091,0.44594594594594594,inkirika fassan speaking full stop next line full stop pain worth sitting comma standing comma walking full stop patient chibidoru tried analgesic medication full stop next line,0.24285714285714288,-0.8481
14,BW,setswana,"Similarly, Makinde appears unshaken about the exit of some members of the PDP and of the coalition.
",ស ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ,8.705882352941176,2.8181818181818183,,0.0,0.0
15,BW,setswana,"The broad anterior surface of the scapula, called the subscapular fossa,  is slightly concave and relatively featureless.","The broad anterior surface of the scapula, called the subscapula fossa, is likely concave and relatively featureless.",0.11764705882352941,0.049586776859504134,broad anterior surface scapula called subscapula fossa likely concave relatively featureless,0.020833333333333332,0.0
16,BW,setswana,"If this really happened, youd see a series of random disconnected incidents that would create a pattern of chaos.
","If this really happened, you'd see a series of random disconnected incidents that would create a pattern of chaos.",0.05263157894736842,0.008849557522123894,really happened youd see series random disconnected incidents would create pattern chaos,-0.15,-0.3818
17,BW,setswana,"9, 12 Integrins are transmembrane glycoproteins that form heterodimers consisting of one alpha and one beta      subunit.",and kono.,0.9411764705882353,0.9338842975206612,kono,0.0,0.0
18,BW,setswana,"Make it personal
",Make it personal.,0.3333333333333333,0.0625,make personal,0.0,0.0
19,BW,setswana,"Wesson most recently finished an eight-year stint as L.A. City Council president, which he left in January to focus on his run for supervisor.
","Wesson most recently finished an 8-year stint as LA City Council President, which he left in January to focus on his run for supervisor.",0.125,0.056338028169014086,wesson recently finished 8year stint city council president left january focus run supervisor,0.16666666666666666,0.0
